dish_number,replicate,trial_number,combinations,names_combinations,branch_length,species,species_coverage,total_coverage,date
13,1,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
14,2,3,C,P. ostreatus,0.317777,A. niger,NA,100,2023-11-14
14,2,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,100,2023-11-14
14,2,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
15,3,3,C,P. ostreatus,0.317777,A. niger,NA,100,2023-11-14
15,3,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,100,2023-11-14
15,3,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
16,4,3,C,P. ostreatus,0.317777,A. niger,NA,100,2023-11-14
16,4,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,100,2023-11-14
16,4,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
17,5,3,C,P. ostreatus,0.317777,A. niger,NA,100,2023-11-14
17,5,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,100,2023-11-14
17,5,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
18,6,3,C,P. ostreatus,0.317777,A. niger,NA,100,2023-11-14
18,6,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,100,2023-11-14
18,6,3,C,P. ostreatus,0.317777,P. ostreatus,100,100,2023-11-14
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,42,97,2023-11-14
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,55,97,2023-11-14
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,97,2023-11-14
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,40,95,2023-11-14
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,55,95,2023-11-14
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,95,2023-11-14
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,38,94,2023-11-14
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,56,94,2023-11-14
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,94,2023-11-14
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,20,94,2023-11-14
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,74,94,2023-11-14
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,94,2023-11-14
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,20,97,2023-11-14
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,77,97,2023-11-14
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,97,2023-11-14
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,4,57,2023-11-14
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,53,57,2023-11-14
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,57,2023-11-14
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,45,100,2023-11-14
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,100,2023-11-14
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,55,100,2023-11-14
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,34,100,2023-11-14
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,100,2023-11-14
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,66,100,2023-11-14
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,18,43,2023-11-14
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,43,2023-11-14
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,25,43,2023-11-14
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,61,100,2023-11-14
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,100,2023-11-14
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,39,100,2023-11-14
29,5,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,47,100,2023-11-14
29,5,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,100,2023-11-14
29,5,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,53,100,2023-11-14
30,6,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,62,100,2023-11-14
30,6,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,100,2023-11-14
30,6,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,38,100,2023-11-14
31,1,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,99,2023-11-14
31,1,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,49,99,2023-11-14
31,1,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,50,99,2023-11-14
32,2,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,100,2023-11-14
32,2,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,68,100,2023-11-14
32,2,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,32,100,2023-11-14
33,3,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,100,2023-11-14
33,3,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,58,100,2023-11-14
33,3,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,42,100,2023-11-14
34,4,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,100,2023-11-14
34,4,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,66,100,2023-11-14
34,4,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,34,100,2023-11-14
35,5,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,100,2023-11-14
35,5,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,66,100,2023-11-14
35,5,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,34,100,2023-11-14
36,6,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,A. niger,NA,100,2023-11-14
36,6,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,F. keratoplasticum,75,100,2023-11-14
36,6,6,B+C,"F. keratoplasticum, P. ostreatus",0.6231786,P. ostreatus,25,100,2023-11-14
37,1,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,83,100,2023-11-14
37,1,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,5,100,2023-11-14
37,1,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,12,100,2023-11-14
38,2,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,95,100,2023-11-14
38,2,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,3,100,2023-11-14
38,2,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,2,100,2023-11-14
39,3,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,100,100,2023-11-14
39,3,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,0,100,2023-11-14
39,3,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,0,100,2023-11-14
40,4,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,44,100,2023-11-14
40,4,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,30,100,2023-11-14
40,4,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,26,100,2023-11-14
41,5,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,28,100,2023-11-14
41,5,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,27,100,2023-11-14
41,5,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,45,100,2023-11-14
42,6,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,A. niger,90,100,2023-11-14
42,6,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,F. keratoplasticum,3,100,2023-11-14
42,6,7,A+B+C,"A. niger, F. keratoplasticum, P. ostreatus",0.980591,P. ostreatus,7,100,2023-11-14
